A. IDENTIFICATION DU VEHICULE ;A.1. NUMERO D'IMMATRICULATION ;A.1.1. PLAQUE D'IMMATRICULATION ;A.1.1.1. ETAT ;A.1.1.1.1. ;Mauvais �tat de la plaque avant / D�collement de num�ro ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.1. PLAQUE CONSTRUCTEUR ;A.3.1.1. SPECIFICATION ;A.3.1.1.1. ;Non concordance avec la carte grise ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.1. PLAQUE CONSTRUCTEUR ;A.3.1.1. SPECIFICATION ;A.3.1.1.2.;Non concordance avec la frappe � froid ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.1. PLAQUE CONSTRUCTEUR ;A.3.1.2. EXISTENCE ;A.3.1.2.1.;Absence ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.1. PLAQUE CONSTRUCTEUR ;A.3.1.2. EXISTENCE ;A.3.1.2.2.;D�t�rior� / Illisible ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.2. FRAPPE A FROID SUR LE CHASSIS ;A.3.2.1. ETAT ;A.3.2.1.1.;Mauvais �tat ;2;;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.3. SPECIFICATION ;;A.3.3.1.;Modifier ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.3. SPECIFICATION ;;A.3.3.2.;Rapporter ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.3. SPECIFICATION ;;A.3.3.2.6.;Non concordance avec la Plaque constructeur ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.3. SPECIFICATION ;;A.3.3.3.;Illisible partiel ou total ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.3. SPECIFICATION ;;A.3.3.4.;Dissimuler ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.3. NUMERO DU CHASSIS ;A.3.3. SPECIFICATION ;;A.3.3.5.;Ajout de caract�res ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.4. MARQUAGE DES VITRES ;A.4.1. EXISTENCE ;;A.4.1.1.1.;Absence de marquage ;2;;;
A. IDENTIFICATION DU VEHICULE ;A.4. MARQUAGE DES VITRES ;A.4.1. EXISTENCE ;;A.4.1.1.2.;Marquage non conforme ;2;;;
A. IDENTIFICATION DU VEHICULE ;A.4. MARQUAGE DES VITRES ;A.4.1. EXISTENCE ;;A.4.1.1.3.;Marquages multiples ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.5. PRESENTATION DU VEHICULE ;A.5.1. ASPECT GENERAL DU VEHICULE ;;A.5.1.1.;Non roulant, V�hicule en panne ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.5. PRESENTATION DU VEHICULE ;A.5.1. ASPECT GENERAL DU VEHICULE ;;A.5.1.2.;D�gradation mineure de la carrosserie ;1; ;;
A. IDENTIFICATION DU VEHICULE ;A.5. PRESENTATION DU VEHICULE ;A.5.1. ASPECT GENERAL DU VEHICULE ;;A.5.1.3.;Etat de d�gradation avanc� ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.5. PRESENTATION DU VEHICULE ;A.5.2. ACCES AUX ELEMENTS D�IDENTIFICATION ;;A.5.2.1.;Lecture de la plaque d�immatriculation impossible ;2;;;
A. IDENTIFICATION DU VEHICULE ;A.5. PRESENTATION DU VEHICULE ;A.5.2. ACCES AUX ELEMENTS D�IDENTIFICATION ;;A.5.2.2.;Lecture du N� de frappe � froid impossible ;2;;;
A. IDENTIFICATION DU VEHICULE ;A.5. PRESENTATION DU VEHICULE ;A.5.2. ACCES AUX ELEMENTS D�IDENTIFICATION ;;A.5.2.3.;Lecture de la plaque constructeur impossible ;2;;;
A. IDENTIFICATION DU VEHICULE ;A.5. PRESENTATION DU VEHICULE ;A5. 3. GENRE DU VEHICULE ;;A.5.3.1.;Carrosserie non concordance avec la carte grise ;2;;;
A. IDENTIFICATION DU VEHICULE ;A.5. PRESENTATION DU VEHICULE ;A5. 3. GENRE DU VEHICULE ;;A.5.3.2.;Am�nagement non conforme ;2;;;
A. IDENTIFICATION DU VEHICULE ;A.6. DIVERS ;A.6.4. PLAQUE DE LIMITATION DE VITESSE ;A.6.4.2. CONCORDANCE ;A.5.4.2.1.;Non concordance avec la cat�gorie du v�hicule ;2;PARC SOUMIS ;;
A. IDENTIFICATION DU VEHICULE ;A.6. DIVERS ;A.6.1. ENERGIE MOTEUR ;A.6.1.1. SPECIFICATION ;A.6.1.1.1.;Non concordance avec la carte grise ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.6. DIVERS ;A.6.2. NOMBRE DE PLACES ASSISES ;A.6.2.1. SPECIFICATION ;A.6.2.1.1.;Sup�rieur � la carte grise ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.6. DIVERS ;A.6.2. NOMBRE DE PLACES ASSISES ;A.6.2.1. SPECIFICATION ;A.6.2.1.2.;Inf�rieur � la carte grise ;2; ;;
A. IDENTIFICATION DU VEHICULE ;A.6. DIVERS ;A.6.3. PLAQUE DE TARE ;A.6.3.1. EXISTENCE ;A.6.3.1.1.;Absence ;2;uniquement v�hicules transport de marchandise ;;
A. IDENTIFICATION DU VEHICULE ;A.6. DIVERS ;A.6.3. PLAQUE DE TARE ;A.6.3.1. EXISTENCE ;A.6.3.1.2.;Non concordance avec le PTAC de la carte grise ;2;uniquement v�hicules transport de marchandise ;;
A. IDENTIFICATION DU VEHICULE ;A.6. DIVERS ;A.6.3. PLAQUE DE TARE ;A.6.3.1. EXISTENCE ;A.6.3.1.3.;Non concordance avec le Poids � vide de la carte grise ;2;uniquement v�hicules transport de marchandise ;;
A. IDENTIFICATION DU VEHICULE ;A.6. DIVERS ;A.6.3. PLAQUE DE TARE ;A.6.3.1. EXISTENCE ;A.6.3.1.4.;Plaque de tare � gauche ;2;uniquement v�hicules transport de marchandise ;;
A. IDENTIFICATION DU VEHICULE ;A.6. DIVERS ;A.6.4. PLAQUE DE LIMITATION DE VITESSE ;A.6.4.1. EXISTENCE ;A.6.4.1.1.;Absence du disque de vitesse ;2;PARC SOUMIS ;;
B. ECLAIRAGE, SIGNALISATION ;B.1. MESURES ;B.1.1. FEU DE CROISEMENT ;B.1.1.1. SPECIFICATIONS ;B.1.1.1.1.;R�glage  bas (D/G) ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.1. MESURES ;B.1.1. FEU DE CROISEMENT ;B.1.1.1. SPECIFICATIONS ;B.1.1.1.2.;R�glage trop bas (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.1. MESURES ;B.1.1. FEU DE CROISEMENT ;B.1.1.1. SPECIFICATIONS ;B.1.1.1.3.;R�glage haut (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.1. MESURES ;B.1.1. FEU DE CROISEMENT ;B.1.1.1. SPECIFICATIONS ;B.1.1.1.4.;Lumi�re diffuse  (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.1. ETAT ;B.2.1.1.1.;Pr�sence de film ou de support non autoris� sur le ou les verre(s) diffuseur(s) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.1. ETAT ;B.2.1.1.2.;Fissure/Cassure du verre diffuseur (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.1. ETAT ;B.2.1.1.3.;Absence de verre diffuseur ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.1. ETAT ;B.2.1.1.4.;Corrosion avanc�e du r�flecteur (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.1. ETAT ;B.2.1.1.5.;Projecteur non homologu� ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.1. ETAT ;B.2.1.1.6.;Pr�sence de bu�e ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.1. ETAT ;B.2.1.1.7.;Pr�sence d'eau dans le globe ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.2. FONCTIONNEMENT ;B.2.1.2.1.;Faisceau lumineux non conforme / Coupure � gauche (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.2. FONCTIONNEMENT ;B.2.1.2.2.;Non fonctionnement (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.2. FONCTIONNEMENT ;B.2.1.2.3.;Mauvais fonctionnement (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.2. FONCTIONNEMENT ;B.2.1.2.4.;Dissym�trie des projecteurs (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.2. FONCTIONNEMENT ;B.2.1.2.5.;Dissym�trie de couleurs ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.2. FONCTIONNEMENT ;B.2.1.2.6.;Couleurs des feux de croissement non autoris�es ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.3. FIXATION ;B.2.1.3.1.;Mauvais positionnement du feu (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.3. FIXATION ;B.2.1.3.2.;Mauvais positionnement de l�ampoule (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.3. FIXATION ;B.2.1.3.3.;Mauvaise fixation (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.1. FEU DE CROISEMENT ;B.2.1.4. EXISTENCE ;B.2.1.4.1.;Absence (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.1. ETAT ;B.2.2.1.1.;Pr�sence de film ou de support non autoris� sur le ou les verre(s) diffuseur(s) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.1. ETAT ;B.2.2.1.2.;Fissure/ Cassure du verre diffuseur (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.1. ETAT ;B.2.2.1.3.;Absence de verre diffuseur ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.1. ETAT ;B.2.2.1.4.;Corrosion avanc�e du r�flecteur (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.1. ETAT ;B.2.2.1.5.;Projecteur non homologu� ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.2. FONCTIONNEMENT ;B.2.2.2.1.;Non fonctionnement (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.2. FONCTIONNEMENT ;B.2.2.2.3.;Mauvais fonctionnement (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.2. FONCTIONNEMENT ;B.2.2.2.4.;Dissym�trie des projecteurs (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.2. FONCTIONNEMENT ;B.2.2.2.5.;Dissym�trie de couleur (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.2. FONCTIONNEMENT ;B.2.2.2.6.;Couleurs des feux de croissement non autoris�es ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.3. FIXATION ;B.2.2.3.1.;Mauvais positionnement du feu (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.3. FIXATION ;B.2.2.3.2.;Mauvais positionnement de l'ampoule (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.3. FIXATION ;B.2.2.3.3.;Mauvaise fixation (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.2. FEU DE ROUTE ;B.2.2.4. EXISTENCE ;B.2.2.4.1.;Absence (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.3. LONGUE PORTEE (FEUX COMPLEMENTAIRES) ;B.2.3.1. NOMBRE DE POINTS LUMINEUX ;B.2.3.1.1.;Nombre de points lumineux sup�rieur � six ;2;VOIR CONFORMITE AVEC LE CODE ;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.3. LONGUE PORTEE (FEUX COMPLEMENTAIRES) ;B.2.3.2. ETAT ;B.2.3.2.1.;Mauvais �tat ;2;CHAPITRE I. ;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.3. LONGUE PORTEE (FEUX COMPLEMENTAIRES) ;B.2.3.2. ETAT ;B.2.3.2.2.;Pr�sence de film ou de support  non autoris� ;2;CHAPITRE II. ;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.3. LONGUE PORTEE (FEUX COMPLEMENTAIRES) ;B.2.3.2. ETAT ;B.2.3.2.3.;Non homologu�s / Codification ;2;CHAPITRE III. ;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.3. LONGUE PORTEE (FEUX COMPLEMENTAIRES) ;B.2.3.2. ETAT ;B.2.3.2.4.;Montage non conforme ;2;CHAPITRE IV. ;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.3. LONGUE PORTEE (FEUX COMPLEMENTAIRES) ;B.2.3.2. ETAT ;B.2.3.2.5.;Fissure/ Cassure du verre diffuseur (D/G) ;2; ;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.3. LONGUE PORTEE (FEUX COMPLEMENTAIRES) ;B.2.3.3. FONCTIONNEMENT ;B.2.3.3.1.;Non fonctionnement ;2;CHAPITRE V. ;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.3. LONGUE PORTEE (FEUX COMPLEMENTAIRES) ;B.2.3.3. FONCTIONNEMENT ;B.2.3.3.2.;Mauvais fonctionnement ;2;CHAPITRE VI. ;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.3. LONGUE PORTEE (FEUX COMPLEMENTAIRES) ;B.2.3.4. FIXATION ;B.2.3.4.1.;Mauvais positionnement ;2;CHAPITRE VII. ;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.3. LONGUE PORTEE (FEUX COMPLEMENTAIRES) ;B.2.3.4. FIXATION ;B.2.3.4.2.;Mauvaise fixation ;2; ;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.4. FEUX DE BROUILLARD (FEUX COMPLEMENTAIRES) ;B.2.4.1. ETAT ;B.2.4.1.3.;Non homologu�s / Codification ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.4. FEUX DE BROUILLARD (FEUX COMPLEMENTAIRES) ;B.2.4.1. ETAT ;B.2.4.1.1.;Mauvais �tat ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.4. FEUX DE BROUILLARD (FEUX COMPLEMENTAIRES) ;B.2.4.1. ETAT ;B.2.4.1.2.;Pr�sence de film ou de support non autoris� sur la glace ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.4. FEUX DE BROUILLARD (FEUX COMPLEMENTAIRES) ;B.2.4.2. FONTONNEMENT ;B.2.4.2.1.;Non fonctionnement  (D/G) ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.4. FEUX DE BROUILLARD (FEUX COMPLEMENTAIRES) ;B.2.4.2. FONTONNEMENT ;B.2.4.2.2.;Mauvais fonctionnement ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.4. FEUX DE BROUILLARD (FEUX COMPLEMENTAIRES) ;B.2.4.2. FONTONNEMENT ;B.2.4.2.3.;Absence de t�moin lumineux ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.4. FEUX DE BROUILLARD (FEUX COMPLEMENTAIRES) ;B.2.4.3. FIXATION ;B.2.4.3.1.;Mauvais positionnement ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.2. ECLAIRAGE ;B.2.4. FEUX DE BROUILLARD (FEUX COMPLEMENTAIRES) ;B.2.4.3. FIXATION ;B.2.4.3.2.;Mauvaise fixation ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.1. FEU DE POSITION ;B.3.1.1. ETAT ;B.3.1.1.1.;Feu de position cass�/ fissur� ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.1. FEU DE POSITION ;B.3.1.1. ETAT ;B.3.1.1.2.;Feu de position modifi� (AVD/AVG) ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.1. FEU DE POSITION ;B.3.1.2. FONCTIONNEMENT ;B.3.1.2.1.;Anomalie de fonctionnement ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.1. FEU DE POSITION ;B.3.1.2. FONCTIONNEMENT ;B.3.1.2.2.;Non fonctionnement d'un (AVD/AVG) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.1. FEU DE POSITION ;B.3.1.3. FIXATION ;B.3.1.3.1.;Mauvais positionnement (AVD/AVG) ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.1. FEU DE POSITION ;B.3.1.3. FIXATION ;B.3.1.3.2.;Mauvaise fixation (AVD/AVG) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.1. FEU DE POSITION ;B.3.1.4. EXISTENCE ;B.3.1.4.1.;Absence (AVD/AVG) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.2. FEU ROUGE ;B.3.2.1. ETAT ;B.3.2.1.1.;D�t�rioration mineure  (ARD/ARG) ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.2. FEU ROUGE ;B.3.2.1. ETAT ;B.3.2.1.2.;Feu rouge cass�  / Pr�sence d'eau ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.2. FEU ROUGE ;B.3.2.1. ETAT ;B.3.2.1.3.;Feu rouge modifi� (ARDARG) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.2. FEU ROUGE ;B.3.2.2. FONCTIONNEMENT ;B.3.2.2.1.;Non fonctionnement ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.2. FEU ROUGE ;B.3.2.3. FIXATION ;B.3.2.3.1.;Mauvais positionnement ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.2. FEU ROUGE ;B.3.2.3. FIXATION ;B.3.2.3.2.;Fixation inappropri�e ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.2. FEU ROUGE ;B.3.2.4. EXISTENCE ;B.3.2.4.1.;Absence ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.3. FEU INDICATEUR DE DIRECTION ;B.3.3.1. ETAT ;B.3.3.1.1.;D�t�rioration mineure (AVD/AVG, ARD/ARG) ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.3. FEU INDICATEUR DE DIRECTION ;B.3.3.1. ETAT ;B.3.3.1.2.;D�t�rioration importante (AVD/AVG, ARD/ARG) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.3. FEU INDICATEUR DE DIRECTION ;B.3.3.1. ETAT ;B.3.3.1.4.;Feux modifi�s (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.3. FEU INDICATEUR DE DIRECTION ;B.3.3.2. COULEUR ;B.3.3.2.1.;Couleur de l�indicateur Modifi�e (AVD/AVG, ARD/ARG) ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.3. FEU INDICATEUR DE DIRECTION ;B.3.3.3. FONCTIONNEMENT ;B.3.3.3.1.;Non fonctionnement d'un, cot� droit (AVD/ ARD) ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.3. FEU INDICATEUR DE DIRECTION ;B.3.3.3. FONCTIONNEMENT ;B.3.3.3.2.;Non fonctionnement d'un, cot� gauche (AVG/ ARG) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.3. FEU INDICATEUR DE DIRECTION ;B.3.3.3. FONCTIONNEMENT ;B.3.3.3.3.;Non fonctionnement des deux ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.3. FEU INDICATEUR DE DIRECTION ;B.3.3.3. FONCTIONNEMENT ;B.3.3.3.4.;T�moins lumineux non fonctionnel ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.3. FEU INDICATEUR DE DIRECTION ;B.3.3.4. EXISTENCE ;B.3.3.4.1.;Absence ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.3. FEU INDICATEUR DE DIRECTION ;B.3.3.5. FIXATION ;B.3.3.5.1.;Mauvaise fixation ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.4. SIGNAL DE DETRESSE ;B.3.4.1. FONCTIONNEMENT ;B.3.4.1.1.;Anomalie de fonctionnement ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.4. SIGNAL DE DETRESSE ;B.3.4.2. EXISTENCE ;B.3.4.2.1.;Absence du feu de d�tresse ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.1. ETAT ;B.3.5.1.1.;Couleur de signalisation modifi�e (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.1. ETAT ;B.3.5.1.2.;D�t�rioration mineure (D/G) ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.1. ETAT ;B.3.5.1.3;D�t�rioration importante (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.1. ETAT ;B.3.5.1.4.;Feu cass� (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.1. ETAT ;B.3.5.1.5.;Feux modifi� (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.2. FONCTIONNEMENT ;B.3.5.2.1.;Non fonctionnement  d'un (D/G) ;1;;;
